epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78761,1.50393,2.79483,1.90517,0.00333,1,0.03632,0.0201,1.40709,3.60448,2.30166,6e-05,6e-05,6e-05
2,19.5415,1.18468,2.66133,1.5193,0.00333,1,0.15798,0.07572,1.39975,3.58201,2.29422,0.000138614,0.000138614,0.000138614
3,28.9901,1.02125,2.44963,1.39024,0.00333,1,0.645,0.17414,1.35344,3.53652,2.49986,0.000215644,0.000215644,0.000215644
4,38.4653,0.96267,2.25974,1.34795,0.00333,1,0.83,0.28278,1.48519,3.43276,2.9768,0.00029109,0.00029109,0.00029109
5,47.8167,0.99719,2.11943,1.40524,0.00333,1,0.83,0.31044,1.30149,3.41496,2.40486,0.000364952,0.000364952,0.000364952
6,57.3177,0.82838,1.80339,1.31221,0.00333,1,0.83,0.4088,0.85229,3.32423,1.79174,0.00043723,0.00043723,0.00043723
7,66.8386,1.00722,1.92816,1.41905,0.00333,1,0.83,0.4088,0.85229,3.32423,1.79174,0.000507924,0.000507924,0.000507924
8,76.6402,0.88587,1.81996,1.36616,0.00333,1,0.80643,0.34935,1.03821,3.12788,1.8218,0.000577034,0.000577034,0.000577034
9,86.5378,0.86463,1.53212,1.25359,0.00333,1,0.995,0.342,1.1461,3.2615,2.12661,0.00064456,0.00064456,0.00064456
10,96.6301,0.93887,1.63814,1.42258,0.00333,1,0.995,0.342,1.1461,3.2615,2.12661,0.000710502,0.000710502,0.000710502
11,107.84,0.87395,1.78699,1.32349,0.00333,1,0.995,0.4461,1.12411,3.26659,2.13255,0.00077486,0.00077486,0.00077486
12,119.611,0.74202,1.2884,1.17576,0.00333,1,0.995,0.4461,1.12411,3.26659,2.13255,0.000837634,0.000837634,0.000837634
13,131.634,0.91337,1.47459,1.3538,0.28967,1,0.69643,0.18525,1.57795,3.20154,2.79884,0.000898824,0.000898824,0.000898824
14,144.006,0.90803,1.45018,1.27844,0.28967,1,0.69643,0.18525,1.57795,3.20154,2.79884,0.00095843,0.00095843,0.00095843
15,156.404,0.94883,1.54035,1.33792,1,0.6661,0.7046,0.23605,1.74235,3.25537,3.19762,0.00101645,0.00101645,0.00101645
16,168.195,1.03084,1.50478,1.41769,1,0.6661,0.7046,0.23605,1.74235,3.25537,3.19762,0.00107289,0.00107289,0.00107289
17,180.086,0.91159,1.50985,1.25058,1,0.6661,0.7046,0.23605,1.74235,3.25537,3.19762,0.00112774,0.00112774,0.00112774
18,192.044,0.96186,1.7069,1.32012,0.28531,0.66667,0.4315,0.17103,1.8309,3.15752,3.35865,0.00118101,0.00118101,0.00118101
19,204.003,0.85366,1.23375,1.26835,0.28531,0.66667,0.4315,0.17103,1.8309,3.15752,3.35865,0.0012327,0.0012327,0.0012327
20,216.065,0.87782,1.41615,1.2329,0.28531,0.66667,0.4315,0.17103,1.8309,3.15752,3.35865,0.0012828,0.0012828,0.0012828
21,228.108,0.8941,1.45156,1.26114,0.28531,0.66667,0.4315,0.17103,1.8309,3.15752,3.35865,0.00133132,0.00133132,0.00133132
22,240.856,0.89294,1.30276,1.35823,0.43545,0.66667,0.4425,0.22365,1.57868,3.1198,2.78359,0.00137825,0.00137825,0.00137825
23,252.985,1.0058,1.34661,1.4315,0.43545,0.66667,0.4425,0.22365,1.57868,3.1198,2.78359,0.0014236,0.0014236,0.0014236
24,264.856,0.82571,1.37087,1.26428,0.43545,0.66667,0.4425,0.22365,1.57868,3.1198,2.78359,0.00146737,0.00146737,0.00146737
25,276.731,1.04802,1.75121,1.69054,0.43545,0.66667,0.4425,0.22365,1.57868,3.1198,2.78359,0.00150955,0.00150955,0.00150955
26,289.472,1.05831,1.48317,1.37804,0.58459,0.66667,0.69643,0.38588,1.64999,3.63052,3.3351,0.001505,0.001505,0.001505
27,303.5,0.94513,1.39465,1.32601,0.58459,0.66667,0.69643,0.38588,1.64999,3.63052,3.3351,0.0014852,0.0014852,0.0014852
28,315.875,0.78288,1.19799,1.22684,0.58459,0.66667,0.69643,0.38588,1.64999,3.63052,3.3351,0.0014654,0.0014654,0.0014654
29,328.117,0.94374,1.33502,1.33351,0.58459,0.66667,0.69643,0.38588,1.64999,3.63052,3.3351,0.0014456,0.0014456,0.0014456
30,340.356,0.79483,1.22954,1.27502,0.63973,0.66667,0.753,0.2903,1.76118,3.13321,3.97889,0.0014258,0.0014258,0.0014258
31,352.297,0.7445,1.11447,1.17365,0.63973,0.66667,0.753,0.2903,1.76118,3.13321,3.97889,0.001406,0.001406,0.001406
